epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1017.44,2.18024,2.37741,1.09721,0.46842,0.15969,0.12768,0.08232,2.68418,2.81886,1.16236,0.000370113,0.000370113,0.000370113
2,2023.78,2.08597,1.96343,1.05146,0.47558,0.16759,0.18338,0.11944,2.5313,2.35114,1.11237,0.000725786,0.000725786,0.000725786
3,3030.74,2.03108,1.86058,1.03804,0.46318,0.19241,0.18884,0.1259,2.53247,2.41978,1.11237,0.00106679,0.00106679,0.00106679
4,4031.88,1.99939,1.80794,1.03169,0.52428,0.18451,0.19101,0.12536,2.48872,2.58983,1.11635,0.00104501,0.00104501,0.00104501
5,5033.81,1.98148,1.71805,1.02753,0.56776,0.2014,0.21874,0.14359,2.40146,2.23261,1.09206,0.00102301,0.00102301,0.00102301
6,6035.36,1.94137,1.65387,1.01701,0.57695,0.20634,0.23387,0.15187,2.34118,1.98255,1.07663,0.00100101,0.00100101,0.00100101
7,7037.46,1.91516,1.5972,1.00799,0.52824,0.22483,0.2429,0.15404,2.33959,2.01673,1.077,0.000979013,0.000979013,0.000979013
8,8039.75,1.90731,1.56139,1.00509,0.56531,0.22824,0.2545,0.16074,2.29243,1.83284,1.06766,0.000957015,0.000957015,0.000957015
9,9041.89,1.87439,1.49336,0.99833,0.53431,0.2375,0.26396,0.16725,2.26792,1.81445,1.0477,0.000935018,0.000935018,0.000935018
10,10043.1,1.84775,1.45364,0.99332,0.52308,0.24092,0.25733,0.16367,2.24977,1.99979,1.06336,0.00091302,0.00091302,0.00091302
11,11043.2,1.84626,1.4453,0.99289,0.57888,0.25251,0.28286,0.17508,2.1511,1.64468,1.03397,0.000891022,0.000891022,0.000891022
12,12044.5,1.83459,1.41335,0.98602,0.47976,0.23808,0.25216,0.16275,2.16081,2.03819,1.03806,0.000869024,0.000869024,0.000869024
13,13045.5,1.82418,1.39591,0.98328,0.56341,0.27219,0.29802,0.18266,2.07886,1.54067,1.01399,0.000847026,0.000847026,0.000847026
14,14046.5,1.80764,1.3572,0.98223,0.58723,0.26705,0.29879,0.18595,2.07398,1.57451,1.01527,0.000825029,0.000825029,0.000825029
15,15047.7,1.79516,1.35158,0.97985,0.59916,0.27502,0.30464,0.18897,2.02481,1.55263,1.00236,0.000803031,0.000803031,0.000803031
16,16049,1.78352,1.32951,0.97631,0.5976,0.27927,0.3161,0.19362,1.99397,1.47007,0.99681,0.000781033,0.000781033,0.000781033
17,17051,1.7679,1.31177,0.97148,0.59759,0.27871,0.31442,0.195,1.95448,1.47027,0.99328,0.000759035,0.000759035,0.000759035
18,18051.2,1.77654,1.3041,0.97284,0.63684,0.29228,0.33488,0.20662,1.91116,1.36384,0.98187,0.000737037,0.000737037,0.000737037
19,19052,1.73695,1.25672,0.96444,0.63493,0.29771,0.34023,0.20942,1.87952,1.34059,0.97651,0.00071504,0.00071504,0.00071504
20,20053.4,1.74587,1.2674,0.96678,0.64996,0.29222,0.33979,0.20439,1.89545,1.33798,0.97415,0.000693042,0.000693042,0.000693042
21,21053.9,1.7346,1.24314,0.96293,0.66292,0.30797,0.35719,0.21581,1.83882,1.2513,0.96262,0.000671044,0.000671044,0.000671044
22,22057.3,1.72987,1.23505,0.96261,0.64233,0.30992,0.35929,0.21864,1.82531,1.27367,0.96851,0.000649046,0.000649046,0.000649046
23,23059.7,1.71142,1.21625,0.95883,0.6545,0.30523,0.35412,0.2164,1.79863,1.25029,0.9599,0.000627048,0.000627048,0.000627048
24,24060.7,1.70743,1.20964,0.96175,0.65755,0.31352,0.36199,0.21966,1.78569,1.20762,0.95627,0.000605051,0.000605051,0.000605051
25,25062.2,1.69721,1.20418,0.95455,0.64439,0.31309,0.36431,0.22189,1.78782,1.22539,0.95536,0.000583053,0.000583053,0.000583053
26,26060.6,1.6921,1.18749,0.95327,0.65962,0.31956,0.37239,0.22699,1.75717,1.18873,0.95136,0.000561055,0.000561055,0.000561055
27,27056,1.68573,1.18352,0.95484,0.65144,0.3236,0.37433,0.22825,1.74603,1.19004,0.95115,0.000539057,0.000539057,0.000539057
28,28050.5,1.6668,1.16061,0.94931,0.66052,0.32415,0.38111,0.23382,1.71097,1.17725,0.94586,0.000517059,0.000517059,0.000517059
29,29045,1.67229,1.16815,0.95138,0.64365,0.32548,0.37748,0.2324,1.71383,1.18024,0.9467,0.000495062,0.000495062,0.000495062
30,30039.1,1.65621,1.14495,0.94799,0.68011,0.32107,0.38254,0.23426,1.69597,1.15783,0.94225,0.000473064,0.000473064,0.000473064
31,31033.6,1.64684,1.1381,0.94717,0.68713,0.33123,0.39638,0.24163,1.66491,1.09472,0.93726,0.000451066,0.000451066,0.000451066
32,32029.1,1.65876,1.14836,0.94593,0.65464,0.33134,0.38832,0.23915,1.67245,1.15024,0.93867,0.000429068,0.000429068,0.000429068
33,33024.2,1.62972,1.11607,0.94309,0.66059,0.33399,0.39676,0.24292,1.65708,1.1215,0.93477,0.00040707,0.00040707,0.00040707
34,34019.9,1.64243,1.12729,0.94201,0.65668,0.34039,0.40118,0.247,1.63525,1.09768,0.93074,0.000385073,0.000385073,0.000385073
35,35014.1,1.61598,1.10579,0.93968,0.70102,0.33881,0.4052,0.24907,1.61964,1.0712,0.92996,0.000363075,0.000363075,0.000363075
36,36010.2,1.61747,1.1017,0.93784,0.66369,0.3428,0.40162,0.24771,1.62467,1.09966,0.93004,0.000341077,0.000341077,0.000341077
37,37004.6,1.60899,1.094,0.93683,0.66616,0.34627,0.40692,0.2509,1.60851,1.07814,0.92639,0.000319079,0.000319079,0.000319079
38,37999.5,1.61089,1.09031,0.935,0.65845,0.35442,0.41299,0.25324,1.59757,1.06472,0.92404,0.000297081,0.000297081,0.000297081
39,38995.7,1.59116,1.07543,0.93432,0.67594,0.3518,0.41079,0.25398,1.59322,1.07643,0.92327,0.000275084,0.000275084,0.000275084
40,39990.8,1.586,1.06583,0.93294,0.67962,0.34991,0.41751,0.25774,1.57245,1.04092,0.92016,0.000253086,0.000253086,0.000253086
41,40974.5,1.60719,1.08782,0.94501,0.65672,0.35426,0.41192,0.25228,1.5942,1.05006,0.92236,0.000231088,0.000231088,0.000231088
42,41942.9,1.58539,1.05797,0.93975,0.66543,0.35928,0.41869,0.25638,1.57321,1.03686,0.91855,0.00020909,0.00020909,0.00020909
43,42911.9,1.5766,1.05173,0.9389,0.6728,0.36008,0.42138,0.25833,1.56427,1.01615,0.91675,0.000187092,0.000187092,0.000187092
44,43880.4,1.55573,1.03099,0.93654,0.68148,0.36193,0.42577,0.26194,1.55116,1.00018,0.91521,0.000165095,0.000165095,0.000165095
45,44849.4,1.54974,1.02486,0.93386,0.6904,0.36492,0.4306,0.26378,1.54223,0.99387,0.91421,0.000143097,0.000143097,0.000143097
46,45818,1.54731,1.01825,0.93032,0.69292,0.36321,0.42945,0.26323,1.54219,1.00873,0.91269,0.000121099,0.000121099,0.000121099
47,46787.3,1.53557,1.00498,0.92871,0.67857,0.36635,0.42898,0.26356,1.53345,0.99903,0.91163,9.91012e-05,9.91012e-05,9.91012e-05
48,47756.5,1.52389,0.99817,0.92756,0.69001,0.36582,0.43192,0.26528,1.5311,0.99725,0.91066,7.71034e-05,7.71034e-05,7.71034e-05
49,48725.5,1.51038,0.98352,0.92582,0.68099,0.37159,0.43267,0.26543,1.52866,0.99367,0.90993,5.51056e-05,5.51056e-05,5.51056e-05
50,49694,1.50862,0.97836,0.92588,0.68269,0.36987,0.43482,0.26732,1.52342,0.9902,0.90976,3.31078e-05,3.31078e-05,3.31078e-05
