epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1646.46,1.96308,1.60471,1.20248,0.55243,0.29471,0.31502,0.17612,1.90085,1.4779,1.13158,0.00333254,0.00333254,0.00333254
2,3267.79,1.97883,1.59853,1.195,0.51583,0.26975,0.28307,0.15686,1.92358,1.54906,1.14057,0.00659988,0.00659988,0.00659988
3,4883.42,2.02506,1.6487,1.20573,0.52259,0.25954,0.26777,0.14496,1.99506,1.61549,1.16623,0.00980122,0.00980122,0.00980122
4,6496.66,2.0639,1.68919,1.21683,0.52142,0.26892,0.28677,0.15752,1.97697,1.57408,1.14525,0.009703,0.009703,0.009703
5,8110.29,2.01627,1.63537,1.20082,0.49651,0.28269,0.28844,0.15977,1.91912,1.55218,1.13141,0.009604,0.009604,0.009604
6,9724.84,1.99347,1.60626,1.19307,0.5145,0.28321,0.29441,0.16474,1.89665,1.55736,1.1297,0.009505,0.009505,0.009505
7,11338.7,1.97187,1.58091,1.18291,0.56444,0.28725,0.31274,0.17417,1.8756,1.47914,1.11432,0.009406,0.009406,0.009406
8,12955.8,1.94642,1.55559,1.17364,0.56242,0.29932,0.31731,0.17556,1.82057,1.41423,1.09174,0.009307,0.009307,0.009307
9,14570,1.93091,1.53583,1.16973,0.55665,0.30066,0.32614,0.18426,1.805,1.40981,1.09076,0.009208,0.009208,0.009208
10,16185.3,1.91135,1.51138,1.16178,0.58304,0.3132,0.33992,0.19166,1.78626,1.37039,1.08384,0.009109,0.009109,0.009109
11,17800.7,1.90201,1.49852,1.156,0.58915,0.30732,0.34096,0.19235,1.76179,1.36335,1.07725,0.00901,0.00901,0.00901
12,22061.4,1.89225,1.48036,1.15256,0.60587,0.31487,0.34762,0.19545,1.75778,1.33008,1.06959,0.008911,0.008911,0.008911
13,22521.3,1.88187,1.46566,1.15033,0.59831,0.32364,0.36244,0.20382,1.71262,1.29115,1.0581,0.008812,0.008812,0.008812
14,22982.4,1.87607,1.46355,1.144,0.57347,0.33378,0.36232,0.20488,1.71826,1.28341,1.05698,0.008713,0.008713,0.008713
15,23444.4,1.85909,1.44308,1.13935,0.58958,0.33392,0.36244,0.20591,1.69161,1.30073,1.05296,0.008614,0.008614,0.008614
16,23905.1,1.85404,1.43242,1.13757,0.60432,0.33726,0.37138,0.21222,1.66918,1.26781,1.04591,0.008515,0.008515,0.008515
17,24366.9,1.8449,1.41878,1.13244,0.61815,0.34141,0.38042,0.21642,1.66052,1.23856,1.0422,0.008416,0.008416,0.008416
18,24829.5,1.83595,1.40995,1.13358,0.61543,0.34334,0.37843,0.2172,1.6547,1.25469,1.0398,0.008317,0.008317,0.008317
19,25289.7,1.83084,1.40313,1.12814,0.60658,0.34732,0.38292,0.21898,1.63212,1.23176,1.03429,0.008218,0.008218,0.008218
20,25751.4,1.81937,1.39401,1.12603,0.60468,0.35689,0.38861,0.22272,1.62174,1.21538,1.03228,0.008119,0.008119,0.008119
21,26209,1.81445,1.38425,1.12485,0.61279,0.35307,0.38893,0.22339,1.61236,1.21611,1.02878,0.00802,0.00802,0.00802
22,26671.7,1.81301,1.38125,1.12383,0.61822,0.35822,0.39387,0.22597,1.60018,1.20306,1.02625,0.007921,0.007921,0.007921
23,27134.8,1.80781,1.36885,1.12019,0.60786,0.36323,0.39846,0.22903,1.58923,1.18082,1.02329,0.007822,0.007822,0.007822
24,27593.6,1.7993,1.35986,1.11698,0.61479,0.36575,0.40228,0.23155,1.57999,1.17394,1.02096,0.007723,0.007723,0.007723
25,28056.2,1.79182,1.3516,1.11651,0.61937,0.36836,0.40357,0.23262,1.5772,1.17403,1.0196,0.007624,0.007624,0.007624
26,28516.6,1.78775,1.34303,1.11331,0.62143,0.36984,0.40683,0.23417,1.57011,1.16539,1.01704,0.007525,0.007525,0.007525
27,28977.4,1.78278,1.33983,1.11396,0.62949,0.36865,0.40747,0.23383,1.56826,1.16146,1.01583,0.007426,0.007426,0.007426
28,29440.8,1.78222,1.33117,1.10841,0.63032,0.37381,0.41075,0.23694,1.55683,1.15434,1.01361,0.007327,0.007327,0.007327
29,29903.2,1.77069,1.32134,1.10527,0.63262,0.37246,0.41328,0.23886,1.55191,1.14721,1.01189,0.007228,0.007228,0.007228
30,30365.6,1.77238,1.32572,1.10861,0.63692,0.3716,0.41456,0.23965,1.54792,1.14272,1.01087,0.007129,0.007129,0.007129
31,30827.4,1.76157,1.31118,1.10439,0.63358,0.37295,0.41561,0.24025,1.54513,1.13957,1.01045,0.00703,0.00703,0.00703
32,31289.6,1.76208,1.30897,1.1043,0.62935,0.3781,0.41787,0.24192,1.53939,1.13482,1.00908,0.006931,0.006931,0.006931
33,31753.2,1.75844,1.30633,1.10257,0.63881,0.37859,0.42081,0.24433,1.5346,1.12953,1.00772,0.006832,0.006832,0.006832
34,32213.3,1.75255,1.30076,1.10043,0.64527,0.37832,0.42373,0.24666,1.52922,1.12114,1.00638,0.006733,0.006733,0.006733
35,32674.2,1.74542,1.29251,1.09999,0.64164,0.38153,0.42599,0.24788,1.52521,1.11614,1.00542,0.006634,0.006634,0.006634
36,33136.2,1.74703,1.2879,1.09654,0.63453,0.38576,0.42714,0.24852,1.52244,1.11201,1.00468,0.006535,0.006535,0.006535
37,33596.4,1.74025,1.27771,1.09508,0.63881,0.38509,0.42847,0.24937,1.51897,1.10828,1.00371,0.006436,0.006436,0.006436
38,34056.2,1.73287,1.27437,1.09451,0.64012,0.38533,0.42951,0.25006,1.51561,1.10519,1.00296,0.006337,0.006337,0.006337
39,34516.7,1.73503,1.27091,1.09524,0.64226,0.38569,0.43085,0.25115,1.51203,1.10121,1.00204,0.006238,0.006238,0.006238
40,34972.7,1.73455,1.27218,1.09424,0.64348,0.38686,0.43166,0.25162,1.50881,1.09721,1.00111,0.006139,0.006139,0.006139
41,35432.7,1.72391,1.26174,1.09032,0.64391,0.38832,0.43323,0.2521,1.50675,1.09417,1.00041,0.00604,0.00604,0.00604
42,35892.4,1.72157,1.25186,1.08893,0.64652,0.3879,0.43464,0.25284,1.50417,1.09071,0.99976,0.005941,0.005941,0.005941
43,36352.2,1.71846,1.2576,1.08922,0.64791,0.38791,0.43565,0.25346,1.50185,1.08805,0.99909,0.005842,0.005842,0.005842
44,36815.1,1.71328,1.24403,1.08619,0.65418,0.38687,0.43701,0.25443,1.49939,1.08545,0.99846,0.005743,0.005743,0.005743
45,37279.1,1.71346,1.24452,1.08545,0.64898,0.39047,0.43796,0.25523,1.49724,1.08386,0.99774,0.005644,0.005644,0.005644
46,37740.2,1.71107,1.24058,1.08533,0.65102,0.39136,0.43893,0.25585,1.49519,1.08179,0.99719,0.005545,0.005545,0.005545
47,38204.3,1.70118,1.2286,1.08363,0.65386,0.39053,0.43993,0.2566,1.49312,1.08021,0.99677,0.005446,0.005446,0.005446
48,38666.9,1.70147,1.23075,1.08323,0.65625,0.39105,0.4407,0.25717,1.49115,1.07839,0.99631,0.005347,0.005347,0.005347
49,39127.8,1.69231,1.22307,1.08098,0.6519,0.39308,0.44142,0.25772,1.48939,1.07644,0.99571,0.005248,0.005248,0.005248
50,39592.7,1.68924,1.21331,1.0805,0.65458,0.39275,0.4421,0.25831,1.48753,1.07446,0.99524,0.005149,0.005149,0.005149
51,40052.4,1.69134,1.21933,1.07996,0.65496,0.39351,0.44285,0.25906,1.48587,1.07299,0.99492,0.00505,0.00505,0.00505
52,40515.3,1.6838,1.21276,1.07743,0.652,0.39626,0.44389,0.25959,1.48389,1.07089,0.99453,0.004951,0.004951,0.004951
53,40977.5,1.68538,1.20982,1.07646,0.65241,0.39739,0.44457,0.2605,1.48224,1.06945,0.99408,0.004852,0.004852,0.004852
54,41441,1.68256,1.2076,1.07591,0.65619,0.39611,0.4453,0.26096,1.48051,1.06791,0.99363,0.004753,0.004753,0.004753
55,41900.9,1.67513,1.20205,1.0765,0.65638,0.39752,0.44601,0.26145,1.47856,1.06613,0.99317,0.004654,0.004654,0.004654
56,42362.2,1.67349,1.19523,1.07377,0.65518,0.39935,0.44692,0.26199,1.47673,1.06442,0.99273,0.004555,0.004555,0.004555
57,42825.2,1.67352,1.19534,1.07561,0.65722,0.39842,0.44761,0.26267,1.47487,1.06247,0.99225,0.004456,0.004456,0.004456
58,43288.6,1.65943,1.18416,1.07031,0.65393,0.40252,0.44842,0.26312,1.47328,1.06052,0.99179,0.004357,0.004357,0.004357
59,43750.8,1.66619,1.18597,1.07042,0.65423,0.40272,0.44924,0.26369,1.47187,1.05897,0.99134,0.004258,0.004258,0.004258
60,44214,1.66309,1.18045,1.07021,0.65318,0.40461,0.45014,0.26428,1.47026,1.05715,0.99089,0.004159,0.004159,0.004159
61,44677.1,1.6583,1.17455,1.06823,0.65341,0.40476,0.45075,0.26478,1.46874,1.05553,0.99051,0.00406,0.00406,0.00406
62,45138.2,1.66044,1.18228,1.06756,0.65446,0.40491,0.45147,0.2653,1.46705,1.05376,0.99009,0.003961,0.003961,0.003961
63,45596.9,1.65096,1.16993,1.06556,0.65691,0.40499,0.45243,0.266,1.46533,1.05148,0.98965,0.003862,0.003862,0.003862
64,46055.9,1.6424,1.1605,1.06328,0.65645,0.4059,0.45307,0.26667,1.46367,1.04933,0.98929,0.003763,0.003763,0.003763
65,46518.7,1.64228,1.1603,1.0648,0.65844,0.40563,0.45378,0.26723,1.46206,1.04697,0.98893,0.003664,0.003664,0.003664
66,46981.1,1.63797,1.15372,1.06256,0.65519,0.40871,0.45444,0.2679,1.46028,1.04447,0.98838,0.003565,0.003565,0.003565
67,467.29,1.64012,1.16598,1.06518,0.65594,0.40882,0.45457,0.26803,1.45985,1.04389,0.98817,0.003466,0.003466,0.003466
68,929.02,1.64827,1.17099,1.06538,0.65888,0.40796,0.45493,0.2682,1.45933,1.04343,0.98795,0.003367,0.003367,0.003367
69,1394.88,1.64162,1.16235,1.06483,0.65899,0.40771,0.45551,0.26847,1.45841,1.0426,0.9876,0.003268,0.003268,0.003268
70,1860.41,1.64545,1.1678,1.06457,0.6602,0.40809,0.45616,0.26888,1.45756,1.04161,0.9873,0.003169,0.003169,0.003169
71,2324.49,1.6347,1.15598,1.06227,0.65908,0.40933,0.45655,0.26924,1.4565,1.04036,0.98693,0.00307,0.00307,0.00307
72,2790.71,1.63623,1.15396,1.063,0.66069,0.40962,0.45705,0.26957,1.45555,1.03901,0.98664,0.002971,0.002971,0.002971
73,3257.22,1.63147,1.15062,1.06052,0.65873,0.41084,0.45771,0.26999,1.45454,1.03774,0.98631,0.002872,0.002872,0.002872
74,3723.53,1.62586,1.14616,1.05826,0.65787,0.41242,0.4584,0.27055,1.45341,1.03635,0.98596,0.002773,0.002773,0.002773
75,4188.92,1.62239,1.14169,1.05785,0.66058,0.41277,0.45892,0.27093,1.45243,1.03519,0.98561,0.002674,0.002674,0.002674
76,4656.31,1.617,1.13653,1.05747,0.66029,0.41308,0.4594,0.27116,1.45128,1.03392,0.9853,0.002575,0.002575,0.002575
77,5122.41,1.61432,1.13193,1.05403,0.66082,0.41339,0.45995,0.27162,1.45013,1.03245,0.98492,0.002476,0.002476,0.002476
78,5582.94,1.61161,1.12722,1.05504,0.66346,0.41347,0.4606,0.27216,1.44884,1.03094,0.98454,0.002377,0.002377,0.002377
79,6047.65,1.6081,1.11818,1.05302,0.66225,0.4149,0.46138,0.27266,1.44762,1.02937,0.98421,0.002278,0.002278,0.002278
80,6513.66,1.6093,1.12036,1.05185,0.66348,0.41524,0.46212,0.27322,1.44632,1.0279,0.98383,0.002179,0.002179,0.002179
81,6978.76,1.60127,1.11495,1.05059,0.66392,0.41563,0.46282,0.27361,1.44507,1.02637,0.9834,0.00208,0.00208,0.00208
82,7445.1,1.59642,1.10853,1.04937,0.66531,0.41668,0.46351,0.27405,1.4439,1.02491,0.98311,0.001981,0.001981,0.001981
83,7911.27,1.59501,1.10422,1.04688,0.66649,0.41596,0.46413,0.27458,1.44252,1.02336,0.98269,0.001882,0.001882,0.001882
84,8377.1,1.58768,1.0999,1.04838,0.66431,0.41741,0.46457,0.27511,1.44122,1.02205,0.98234,0.001783,0.001783,0.001783
85,8842.8,1.58676,1.09703,1.04637,0.66375,0.41773,0.4651,0.27568,1.43981,1.02069,0.98185,0.001684,0.001684,0.001684
86,9308.08,1.58154,1.0935,1.0461,0.66469,0.41775,0.46578,0.27619,1.43846,1.01912,0.9815,0.001585,0.001585,0.001585
87,9768.78,1.57992,1.08974,1.04621,0.66425,0.41942,0.46665,0.27663,1.43723,1.01787,0.98113,0.001486,0.001486,0.001486
88,10234.6,1.57802,1.08534,1.04477,0.66294,0.41933,0.46698,0.27699,1.43599,1.01657,0.98074,0.001387,0.001387,0.001387
89,10702.7,1.57308,1.07942,1.0438,0.66391,0.41988,0.46748,0.27736,1.43476,1.0154,0.98041,0.001288,0.001288,0.001288
90,11168.9,1.5674,1.07657,1.04095,0.66384,0.42127,0.46789,0.27798,1.43351,1.01426,0.98006,0.001189,0.001189,0.001189
91,11642.8,1.53726,1.00781,1.02314,0.65992,0.42287,0.46852,0.27838,1.43205,1.01294,0.97977,0.00109,0.00109,0.00109
92,12105.2,1.5168,0.98775,1.01592,0.65844,0.42342,0.46926,0.27888,1.43028,1.0117,0.97927,0.000991,0.000991,0.000991
93,12568.1,1.50628,0.974,1.01284,0.65333,0.42562,0.46992,0.27968,1.42829,1.01019,0.97876,0.000892,0.000892,0.000892
